title,videoIDS,publishedDate,likes,views,comment
3 FAST TRACK ways to GROW KNOWLEDGE! | Ankur Warikoo #Shorts,LNQfgVNORDw,2022-03-03T06:30:06Z,13889,146903,112
1 IMPORTANT LIFE CHOICE YOU MUST MAKE! | Ankur Warikoo #Shorts,vSm651rJBes,2022-03-02T06:30:08Z,10392,113255,121
Earn MONEY in the Stock Market in 2022 | Investing Tips for Beginners | Ankur Warikoo Hindi,AbMYbLw5qwc,2022-03-01T16:00:08Z,13462,317653,1693
NUMBER 1 LIFE SKILL EVER! | Ankur Warikoo #Shorts,yBi6JvtQzio,2022-03-01T08:39:26Z,12580,121712,104
DON'T FOLLOW THESE 3 TYPES OF PEOPLE! | Ankur Warikoo #Shorts,39I_5iNyKUo,2022-02-28T06:30:01Z,5692,70424,191
Rs. 500 to Rs. 3.5 CRORES! | Ankur Warikoo #Shorts,2vjVhzbkqvA,2022-02-27T06:30:00Z,69508,1157097,1743
Earn 7 Crores in 1 year! | Online courses | Ankur Warikoo Hindi,AAt6CbPjqVs,2022-02-26T16:00:08Z,5862,138836,662
3 THINGS - Are you STILL DOING THESE in your 20s?! | Ankur Warikoo #Shorts,TDIEUWWysMA,2022-02-26T06:30:08Z,8350,85749,64
Success Vs. Failure - THE REAL TRUTH! | Ankur Warikoo #Shorts,mjgxnF-om0Q,2022-02-25T06:30:07Z,9689,90508,166
How I SPEND MY MONEY? |  Personal Finance | Ankur Warikoo Hindi,LIItg5G7PzQ,2022-02-24T16:00:10Z,8895,164493,1127
Are YOU in a HEALTHY RELATIONSHIP? - 3 SIGNS! | Ankur Warikoo #Shorts,dQWjuW1Nfn4,2022-02-24T06:30:07Z,7552,86304,86
ZINDA HO TUM - Ankur Warikoo Spin! | #Shorts,oeGUE_kC31k,2022-02-23T06:30:11Z,10432,86021,266
REACTING TO HATE and MEAN COMMENTS ON THE INTERNET! | Ankur Warikoo,ELRsATM7yOw,2022-02-22T16:00:05Z,10070,155738,1525
2022 - 3 EXTREMEMLY POWERFUL HABITS! | Ankur Warikoo #Shorts,A1epsOLpGIU,2022-02-22T06:30:01Z,21899,203555,180
2022 - 3 Life Skills YOU CAN'T SURVIVE WITHOUT! | Ankur Warikoo #Shorts,tHgBJ4t8xJ0,2022-02-21T06:30:17Z,32797,316915,281
Are you STUCK IN LIFE?! | Ankur Warikoo #Shorts,5vbKtjqL0nU,2022-02-20T06:30:01Z,12111,129372,90
Investing vs Loan Repayment EXPLAINED with Excel Sheet! | Ankur Warikoo Hindi,ZLoeS3npdi0,2022-02-19T16:00:10Z,12515,482020,1285
Are you not enjoying college? | Ankur Warikoo #Shorts,KKv-q9HEwX0,2022-02-19T06:30:06Z,9411,123432,126
Are you REALLY FREE from THESE 3 Things? | Ankur Warikoo #shorts,g5jJK6celws,2022-02-18T09:11:00Z,5974,76078,94
LIFE CHANGING Habits you NEED to WATCH! | Ankur Warikoo Hindi,xkm6dhRkMQ8,2022-02-17T16:00:22Z,46401,744316,2630
3 Productivity hacks NO ONE told you about | Ankur Warikoo #Shorts,eS6oHHg-BjA,2022-02-17T06:30:07Z,12782,126614,76
3 MISTAKES To Avoid in your 20s | Ankur Warikoo #Shorts,hB_Bs3rbn5E,2022-02-16T10:11:50Z,9961,105684,87
Are you WASTING your HARD EARNED MONEY? | Personal Finance 101 | Ankur Warikoo Hindi,U8vaPjDuATI,2022-02-15T16:00:20Z,28541,795120,2909
3 SMALL Things that make ME HAPPY! | Ankur Warikoo #Shorts,E73Jk982qHY,2022-02-15T06:30:04Z,7555,68061,102
MY FAVOURITE QUOTE of All Time! | Ankur Warikoo #Shorts,P_IZJkpouw8,2022-02-14T06:30:08Z,10263,92403,196
3 books YOU CAN'T MISS! | Ankur Warikoo #Shorts,wSG1T9vGaTk,2022-02-13T06:30:18Z,12695,103348,182
INVESTING? 10 things YOU MUST know! | Ankur Warikoo Hindi Video,eQPfyoF8dy4,2022-02-12T16:00:30Z,4864,110882,506
3 things to RUN AFTER in your 20s! | Ankur Warikoo #Shorts,qk_PsIxOO3o,2022-02-12T06:30:13Z,7613,73301,66
This is what I do when I'm lost! | Ankur Warikoo #Shorts,H6GHn3pEs-o,2022-02-11T06:30:02Z,8305,80918,114
4 POWERFUL ways to calmly resolve Disagreements | Ankur Warikoo Hindi,SDrpeumtOp8,2022-02-10T16:00:10Z,6546,126971,861
I wish I could..... | Ankur Warikoo #Shorts,Ghme1UBRW1c,2022-02-10T06:30:02Z,8396,92916,60
The BIGGEST Mistake of my Career | Ankur Warikoo #Shorts,PMcmrRZF2SQ,2022-02-09T06:30:04Z,5806,83506,73
Atomic Habits Book Review in Hindi | Ankur Warikoo,CmcmxPXyDuM,2022-02-08T16:00:05Z,20810,415665,947
I DISAPPOINTED my Parents | Ankur Warikoo #Shorts,90zAwsRRc88,2022-02-08T06:30:02Z,8631,82640,99
STAY AWAY from THESE People! | Ankur Warikoo #Shorts,Rik169B1PsU,2022-02-07T06:30:03Z,6851,89917,160
3 steps to better MENTAL STRENGTH! | Ankur Warikoo #Shorts,YAzXcgVXNls,2022-02-06T06:30:05Z,14431,113818,96
How I track my investments in 2022 | Ankur Warikoo Hindi,s9J3mFM1sjo,2022-02-05T16:00:19Z,3779,101017,690
3 reasons you will NOT get RICH! | Ankur Warikoo #Shorts,yU--QTU69Q8,2022-02-05T06:30:12Z,45006,679598,393
Why are you STILL FRIENDS?! | Ankur Warikoo #Shorts,aOU3LvX2GkA,2022-02-04T06:30:01Z,13084,122994,194
How to start meditation | Meditation For Beginners | Ankur Warikoo,JzXrbElMRsM,2022-02-03T16:00:17Z,13600,299633,1275
The WORST way to teach a Lesson! | Ankur Warikoo #Shorts,pZLJ_aqWJb0,2022-02-03T06:30:08Z,19837,272413,370
3 BEST Career Tips for your 20s! | Ankur Warikoo #Shorts,f_1b_Vv8e_M,2022-02-02T06:30:12Z,14920,163325,136
12 Side Income Ideas for 2022! | Replace Your Current Job! | Ankur Warikoo Hindi,-bX4Wp_JNiE,2022-02-01T16:00:00Z,19355,422350,988
Become a Time Management NINJA in 2022! | Ankur Warikoo #Shorts,08ENZFsypLc,2022-02-01T06:30:00Z,14507,162299,128
7 Autobiographies you CAN'T miss! | Ankur Warikoo #Shorts,cv_zngyS0E0,2022-01-31T06:30:05Z,11107,122355,217
STOP BELIEVING THIS LIE! | Ankur Warikoo #Shorts,_L-exNaRkKk,2022-01-30T06:30:11Z,19109,217249,315
NFTs: How to buy and sell - Complete Guide w/ @Mohit Mamoria | Ankur Warikoo,peUF5SyBXJE,2022-01-29T16:00:21Z,21675,587005,2633
3 things BEST Friends do! | Ankur Warikoo #Shorts,_HCkTSZ42Ec,2022-01-29T06:30:12Z,18430,199815,172
3 Promises to make with Money in 2022 | Ankur Warikoo #Shorts,mFI1VDTSvN4,2022-01-28T06:30:08Z,10028,121974,100
COMPLETE Tax Planning for Salaried Individuals! | Ankur Warikoo Hindi,UNCQMV8RU_M,2022-01-27T16:00:39Z,12059,284783,9052
5 ideas to make Money Online in 2022! | Ankur Warikoo #Shorts,03w6EuSB3B0,2022-01-27T06:30:01Z,12173,153601,96
3 Mistakes we make with our TIME | Ankur Warikoo #Shorts,NO9bTIbp5gc,2022-01-26T08:47:04Z,14716,148000,103
5 Investing ideas for 2022 | Investing For Beginners | Ankur Warikoo Hindi,Y1V8xYVboLo,2022-01-25T16:00:14Z,6609,153128,562
3 Hacks to Control Phone Addiction | Ankur Warikoo #Shorts,YLcdjROlfNU,2022-01-25T06:30:10Z,12511,192945,122
1 Question I Ask Myself Every Time | Ankur Warikoo #Shorts,ctWCHL1-xFM,2022-01-24T06:30:12Z,6713,70409,98
New to Investing? Try THESE 3 things! | Ankur Warikoo #Shorts,vXxb8iZpTI0,2022-01-23T06:30:18Z,11273,135914,142
"15 Crore business in 12 months, from zero! | Reinventing my Life at 40! | Ankur Warikoo Hindi",7TSncq7QgFE,2022-01-22T16:00:04Z,43869,1027271,4756
3 TRUTHS About Life you MUST know | Ankur Warikoo #Shorts,wle3RwBixE4,2022-01-22T06:30:08Z,10333,115385,94
